term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
36 months,MORTGAGE,B,other,11.55%,TX,Current,Individual,40000,< 1 year,120000.0,16.61,0,59.30%,14,0,"",36,1,59.0,43.76206961077844,16.61,No
36 months,RENT,A,debt_consolidation,6.67%,VA,Current,Individual,14650,10+ years,36000.0,30.2,0,31.20%,61,0,"",36,10,31.0,43.76206961077844,30.2,No
36 months,RENT,D,credit_card,19.92%,MI,Fully Paid,Joint App,15000,2 years,67000.0,30.75,2,56.10%,34,0,13.96,36,2,56.0,43.76206961077844,30.75,No
36 months,MORTGAGE,A,credit_card,6.67%,WA,Current,Individual,35000,10+ years,108619.0,24.89,0,74.60%,27,0,"",36,10,74.0,43.76206961077844,24.89,No
36 months,OWN,A,credit_card,8.46%,WV,Current,Individual,6000,< 1 year,15000.0,13.6,0,61.40%,8,0,"",36,1,61.0,43.76206961077844,13.6,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,TN,Current,Individual,25000,10+ years,85000.0,13.31,0,62.20%,17,0,"",60,10,62.0,43.76206961077844,13.31,No
36 months,RENT,B,credit_card,11.55%,CA,Fully Paid,Individual,10000,3 years,55000.0,15.38,0,82.10%,5,0,"",36,3,82.0,43.76206961077844,15.38,No
60 months,RENT,D,debt_consolidation,22.35%,TX,Current,Individual,16950,3 years,64000.0,31.26,0,72%,20,0,"",60,3,72.0,43.76206961077844,31.26,No
36 months,RENT,A,debt_consolidation,6.67%,CA,Current,Individual,14000,10+ years,60000.0,20.48,0,34.50%,32,0,"",36,10,34.0,43.76206961077844,20.48,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,NY,Current,Individual,23000,8 years,88000.0,17.62,0,83.60%,10,0,"",36,8,83.0,43.76206961077844,17.62,No
36 months,RENT,C,debt_consolidation,13.56%,OH,Current,Joint App,14000,10+ years,50000.0,22.32,2,9.50%,24,0,20.38,36,10,9.0,43.76206961077844,22.32,No
60 months,OWN,C,credit_card,13.56%,KS,Current,Individual,14700,10+ years,140000.0,38.76,1,15.30%,61,0,"",60,10,15.0,43.76206961077844,38.76,No
60 months,RENT,A,credit_card,6.11%,FL,Current,Individual,10000,n/a,41000.0,10.51,0,25.20%,20,0,"",60,"",25.0,43.76206961077844,10.51,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,VA,Current,Individual,4500,5 years,122000.0,12.67,0,16.80%,31,0,"",36,5,16.0,43.76206961077844,12.67,No
36 months,RENT,E,other,24.37%,CA,Fully Paid,Individual,7500,10+ years,33000.0,14.76,0,45.90%,18,0,"",36,10,45.0,43.76206961077844,14.76,No
36 months,RENT,B,debt_consolidation,11.55%,OR,Current,Individual,6000,2 years,32400.0,11.81,0,22.90%,17,0,"",36,2,22.0,43.76206961077844,11.81,No
36 months,OWN,A,debt_consolidation,8.46%,CA,Current,Individual,20000,4 years,15000.0,4.24,0,8.20%,7,0,"",36,4,8.0,43.76206961077844,4.24,No
